id,document_id,page_number,sheet_number,sheet_name,extracted_text,thumbnail,has_takeoffs,takeoff_count,is_visible,ocr_processed,titleblock_config,created_at,updated_at
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-3,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,3,~ AO.OZ,GeneraI Notes,,,false,0,true,false,,2025-10-01 14:13:25.989+00,2025-10-02 16:51:49.702+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-30,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,30,Ad I3,EnIarged PIans - PubIic Restr0ms,,,false,0,true,false,,2025-10-01 14:13:30.171+00,2025-10-02 16:51:54.216+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-31,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,31,,EnIarged FI0r PIan - Ground FI0r - East Side,,,false,0,true,false,,2025-10-01 14:13:30.34+00,2025-10-02 16:51:54.368+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-32,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,32,,EnIarged RefIective CeiIing PIan - Ground FI0r - Fast Side,,,false,0,true,false,,2025-10-01 14:13:30.49+00,2025-10-02 16:51:54.523+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-33,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,33,,EnIarged FI0ring Finish PIan - Ground FI0r - Fast Side,,,false,0,true,false,,2025-10-01 14:13:30.75+00,2025-10-02 16:51:54.676+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-34,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,34,,"EnIarged Fumiture, Fixture PIan - Ground FI0r - Fast Side",,,false,0,true,false,,2025-10-01 14:13:30.911+00,2025-10-02 16:51:55.835+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-35,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,35,,EnIarged FI0r PIan - Ground FI0r - West Side,,,false,0,true,false,,2025-10-01 14:13:31.074+00,2025-10-02 16:51:55.981+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-36,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,36,,EnIarged RefIective CeiIing PIan - Ground FI0r - West Side,,,false,0,true,false,,2025-10-01 14:13:31.23+00,2025-10-02 16:51:56.134+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-37,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,37,~~ A4.33,EnIarged FI0ring Finish PIan - Ground FI0r - West Side,,,false,0,true,false,,2025-10-01 14:13:31.393+00,2025-10-02 16:51:56.299+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-38,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,38,,"EnIarged Fumiture, Fixture PIan - Ground FI0r - West Side",,,false,0,true,false,,2025-10-01 14:13:31.555+00,2025-10-02 16:51:56.465+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-39,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,39,,EnIarged Equipment PIan,,,false,0,true,false,,2025-10-01 14:13:31.722+00,2025-10-02 16:51:56.64+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-4,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,4,~ AO.O3,Zoning TabuIations - Code AnaIysis,,,false,0,true,false,,2025-10-01 14:13:26.153+00,2025-10-02 16:51:49.908+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-40,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,40,~~ A4.SI,EnIarged FI0r PIans & Sections - EIevator & Linen Chute,,,false,0,true,false,,2025-10-01 14:13:31.868+00,2025-10-02 16:51:57.331+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-41,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,41,- A4.SIa,EnIarged FI0r PIan & Sections - EIevator,,,false,0,true,false,,2025-10-01 14:13:32.016+00,2025-10-02 16:51:57.477+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-42,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,42,,EnIarged FI0r PIans & Section - Stairs No. I,,,false,0,true,false,,2025-10-01 14:13:32.177+00,2025-10-02 16:51:57.632+00
6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8-43,6b6473a1-b6fc-407b-bfa5-10aabe2bfbf8,43,,EnIarged FI0r PIans & Section - Stairs No. Z,,,false,0,true,false,,2025-10-01 14:13:32.325+00,2025-10-02 16:51:57.789+00
